color,bestColor,contrast,compliance
#000000,#ffff00,19.56,AAA
#000010,#ffff00,19.41,AAA
#000020,#ffff00,19.16,AAA
#000030,#ffff00,18.76,AAA
#000040,#ffff00,18.21,AAA
#000050,#ffff00,17.53,AAA
#000060,#ffff00,16.73,AAA
#000070,#ffff00,15.85,AAA
#000080,#ffff00,14.91,AAA
#000090,#ffff00,13.94,AAA
#0000a0,#ffff00,12.97,AAA
#0000b0,#ffff00,12.02,AAA
#0000c0,#ffff00,11.1,AAA
#0000d0,#ffff00,10.23,AAA
#0000e0,#ffff00,9.42,AAA
#0000f0,#ffff00,8.66,AAA
#001000,#ffff00,18.21,AAA
#001010,#ffff00,18.08,AAA
#001020,#ffff00,17.86,AAA
#001030,#ffff00,17.51,AAA
#001040,#ffff00,17.03,AAA
#001050,#ffff00,16.43,AAA
#001060,#ffff00,15.73,AAA
#001070,#ffff00,14.95,AAA
#001080,#ffff00,14.11,AAA
#001090,#ffff00,13.24,AAA
#0010a0,#ffff00,12.36,AAA
#0010b0,#ffff00,11.5,AAA
#0010c0,#ffff00,10.66,AAA
#0010d0,#ffff00,9.85,AAA
#0010e0,#ffff00,9.09,AAA
#0010f0,#ffff00,8.38,AAA
#002000,#ffff00,16.21,AAA
#002010,#ffff00,16.11,AAA
#002020,#ffff00,15.93,AAA
#002030,#ffff00,15.65,AAA
#002040,#ffff00,15.27,AAA
#002050,#ffff00,14.79,AAA
#002060,#ffff00,14.22,AAA
#002070,#ffff00,13.58,AAA
#002080,#ffff00,12.88,AAA
#002090,#ffff00,12.15,AAA
#0020a0,#ffff00,11.41,AAA
#0020b0,#ffff00,10.67,AAA
#0020c0,#ffff00,9.94,AAA
#0020d0,#ffff00,9.24,AAA
#0020e0,#ffff00,8.57,AAA
#0020f0,#ffff00,7.93,AAA
#003000,#ffff00,13.74,AAA
#003010,#ffff00,13.67,AAA
#003020,#ffff00,13.55,AAA
#003030,#ffff00,13.34,AAA
#003040,#ffff00,13.07,AAA
#003050,#ffff00,12.71,AAA
#003060,#ffff00,12.29,AAA
#003070,#ffff00,11.8,AAA
#003080,#ffff00,11.27,AAA
#003090,#ffff00,10.71,AAA
#0030a0,#ffff00,10.13,AAA
#0030b0,#ffff00,9.54,AAA
#0030c0,#ffff00,8.95,AAA
#0030d0,#ffff00,8.38,AAA
#0030e0,#ffff00,7.83,AAA
#0030f0,#ffff00,7.29,AAA
#004000,#ffff00,11.28,AAA
#004010,#ffff00,11.23,AAA
#004020,#ffff00,11.15,AAA
#004030,#ffff00,11.01,AAA
#004040,#ffff00,10.82,AAA
#004050,#ffff00,10.58,AAA
