color,bestColor,contrast,compliance
#002850,#ffffff,14.8,AAA
#002858,#ffffff,14.54,AAA
#002860,#ffffff,14.26,AAA
#002868,#ffffff,13.97,AAA
#002870,#ffffff,13.66,AAA
#002878,#ffffff,13.34,AAA
#002880,#ffffff,13.0,AAA
#002888,#ffffff,12.66,AAA
#002890,#ffffff,12.31,AAA
#002898,#ffffff,11.95,AAA
#0028a0,#ffffff,11.59,AAA
#0028a8,#ffffff,11.24,AAA
#0028b0,#ffffff,10.88,AAA
#0028b8,#ffffff,10.52,AAA
#0028c0,#ffffff,10.17,AAA
#0028c8,#ffffff,9.82,AAA
#0028d0,#ffffff,9.48,AAA
#0028d8,#ffffff,9.15,AAA
#0028e0,#ffffff,8.82,AAA
#0028e8,#ffffff,8.51,AAA
#0028f0,#ffffff,8.2,AAA
#0028f8,#ffffff,7.9,AAA
#003000,#ffffff,14.76,AAA
#003008,#ffffff,14.72,AAA
#003010,#ffffff,14.68,AAA
#003018,#ffffff,14.62,AAA
#003020,#ffffff,14.55,AAA
#003028,#ffffff,14.45,AAA
#003030,#ffffff,14.33,AAA
#003038,#ffffff,14.19,AAA
#003040,#ffffff,14.03,AAA
#003048,#ffffff,13.85,AAA
#003050,#ffffff,13.65,AAA
#003058,#ffffff,13.43,AAA
#003060,#ffffff,13.19,AAA
#003068,#ffffff,12.94,AAA
#003070,#ffffff,12.68,AAA
#003078,#ffffff,12.4,AAA
#003080,#ffffff,12.11,AAA
#003088,#ffffff,11.81,AAA
#003090,#ffffff,11.5,AAA
#003098,#ffffff,11.19,AAA
#0030a0,#ffffff,10.88,AAA
#0030a8,#ffffff,10.56,AAA
#0030b0,#ffffff,10.25,AAA
#0030b8,#ffffff,9.93,AAA
#0030c0,#ffffff,9.62,AAA
#0030c8,#ffffff,9.31,AAA
#0030d0,#ffffff,9.0,AAA
#0030d8,#ffffff,8.7,AAA
#0030e0,#ffffff,8.4,AAA
#0030e8,#ffffff,8.11,AAA
#0030f0,#ffffff,7.83,AAA
#0030f8,#ffffff,7.56,AAA
#003800,#ffffff,13.41,AAA
#003808,#ffffff,13.38,AAA
#003810,#ffffff,13.35,AAA
#003818,#ffffff,13.3,AAA
#003820,#ffffff,13.24,AAA
#003828,#ffffff,13.16,AAA
#003830,#ffffff,13.06,AAA
#003838,#ffffff,12.94,AAA
#003840,#ffffff,12.81,AAA
#003848,#ffffff,12.66,AAA
#003850,#ffffff,12.49,AAA
#003858,#ffffff,12.31,AAA
#003860,#ffffff,12.11,AAA
#003868,#ffffff,11.89,AAA
#003870,#ffffff,11.67,AAA
#003878,#ffffff,11.43,AAA
#003880,#ffffff,11.19,AAA
#003888,#ffffff,10.93,AAA
#003890,#ffffff,10.67,AAA
#003898,#ffffff,10.4,AAA
#0038a0,#ffffff,10.13,AAA
#0038a8,#ffffff,9.85,AAA
#0038b0,#ffffff,9.58,AAA
#0038b8,#ffffff,9.3,AAA
#0038c0,#ffffff,9.03,AAA
#0038c8,#ffffff,8.75,AAA
#0038d0,#ffffff,8.48,AAA
#0038d8,#ffffff,8.21,AAA
#0038e0,#ffffff,7.95,AAA
#0038e8,#ffffff,7.69,AAA
#0038f0,#ffffff,7.44,AAA
#0038f8,#ffffff,7.19,AAA
#004000,#ffffff,12.12,AAA
#004008,#ffffff,12.09,AAA
#004010,#ffffff,12.06,AAA
#004018,#ffffff,12.02,AAA
#004020,#ffffff,11.97,AAA
#004028,#ffffff,11.9,AAA
#004030,#ffffff,11.82,AAA
#004038,#ffffff,11.73,AAA
#004040,#ffffff,11.62,AAA
#004048,#ffffff,11.49,AAA
#004050,#ffffff,11.36,AAA
#004058,#ffffff,11.2,AAA
#004060,#ffffff,11.04,AAA
#004068,#ffffff,10.86,AAA
#004070,#ffffff,10.67,AAA
#004078,#ffffff,10.48,AAA
#004080,#ffffff,10.27,AAA
#004088,#ffffff,10.05,AAA
#004090,#ffffff,9.83,AAA
#004098,#ffffff,9.6,AAA
#0040a0,#ffffff,9.37,AAA
#0040a8,#ffffff,9.14,AAA
#0040b0,#ffffff,8.9,AAA
#0040b8,#ffffff,8.66,AAA
#0040c0,#ffffff,8.42,AAA
#0040c8,#ffffff,8.18,AAA
#0040d0,#ffffff,7.94,AAA
#0040d8,#ffffff,7.71,AAA
#0040e0,#ffffff,7.47,AAA
#0040e8,#ffffff,7.24,AAA
#0040f0,#ffffff,7.02,AAA
#0040f8,#ffffff,6.8,AA
#004800,#ffffff,10.9,AAA
#004808,#ffffff,10.88,AAA
#004810,#ffffff,10.86,AAA
#004818,#ffffff,10.82,AAA
#004820,#ffffff,10.78,AAA
#004828,#ffffff,10.73,AAA
#004830,#ffffff,10.66,AAA
#004838,#ffffff,10.58,AAA
#004840,#ffffff,10.49,AAA
#004848,#ffffff,10.39,AAA
#004850,#ffffff,10.28,AAA
#004858,#ffffff,10.16,AAA
#004860,#ffffff,10.02,AAA
#004868,#ffffff,9.87,AAA
#004870,#ffffff,9.72,AAA
#004878,#ffffff,9.55,AAA
#004880,#ffffff,9.38,AAA
#004888,#ffffff,9.2,AAA
#004890,#ffffff,9.01,AAA
#004898,#ffffff,8.82,AAA
#0048a0,#ffffff,8.63,AAA
#0048a8,#ffffff,8.43,AAA
#0048b0,#ffffff,8.22,AAA
#0048b8,#ffffff,8.02,AAA
#0048c0,#ffffff,7.81,AAA
#0048c8,#ffffff,7.61,AAA
#0048d0,#ffffff,7.4,AAA
#0048d8,#ffffff,7.2,AAA
#0048e0,#ffffff,6.99,AA
#0048e8,#ffffff,6.79,AA
#0048f0,#ffffff,6.59,AA
#0048f8,#ffffff,6.4,AA
#005000,#ffffff,9.78,AAA
#005008,#ffffff,9.76,AAA
#005010,#ffffff,9.75,AAA
#005018,#ffffff,9.72,AAA
#005020,#ffffff,9.68,AAA
#005028,#ffffff,9.64,AAA
#005030,#ffffff,9.59,AAA
#005038,#ffffff,9.53,AAA
#005040,#ffffff,9.45,AAA
#005048,#ffffff,9.37,AAA
#005050,#ffffff,9.28,AAA
#005058,#ffffff,9.18,AAA
#005060,#ffffff,9.07,AAA
#005068,#ffffff,8.95,AAA
#005070,#ffffff,8.82,AAA
#005078,#ffffff,8.68,AAA
#005080,#ffffff,8.54,AAA
#005088,#ffffff,8.39,AAA
#005090,#ffffff,8.23,AAA
#005098,#ffffff,8.07,AAA
#0050a0,#ffffff,7.91,AAA
#0050a8,#ffffff,7.74,AAA
#0050b0,#ffffff,7.57,AAA
#0050b8,#ffffff,7.4,AAA
#0050c0,#ffffff,7.22,AAA
#0050c8,#ffffff,7.04,AAA
#0050d0,#ffffff,6.87,AA
#0050d8,#ffffff,6.69,AA
#0050e0,#ffffff,6.51,AA
#0050e8,#ffffff,6.34,AA
#0050f0,#ffffff,6.17,AA
#0050f8,#ffffff,5.99,AA
#005800,#ffffff,8.77,AAA
#005808,#ffffff,8.75,AAA
#005810,#ffffff,8.74,AAA
#005818,#ffffff,8.72,AAA
#005820,#ffffff,8.69,AAA
#005828,#ffffff,8.65,AAA
#005830,#ffffff,8.61,AAA
#005838,#ffffff,8.56,AAA
#005840,#ffffff,8.5,AAA
#005848,#ffffff,8.44,AAA
#005850,#ffffff,8.36,AAA
#005858,#ffffff,8.28,AAA
#005860,#ffffff,8.19,AAA
#005868,#ffffff,8.09,AAA
#005870,#ffffff,7.99,AAA
#005878,#ffffff,7.87,AAA
#005880,#ffffff,7.76,AAA
#005888,#ffffff,7.63,AAA
#005890,#ffffff,7.5,AAA
#005898,#ffffff,7.37,AAA
#0058a0,#ffffff,7.23,AAA
#0058a8,#ffffff,7.09,AAA
#0058b0,#ffffff,6.95,AA
#0058b8,#ffffff,6.8,AA
#0058c0,#ffffff,6.65,AA
#0058c8,#ffffff,6.5,AA
#0058d0,#ffffff,6.35,AA
#0058d8,#ffffff,6.2,AA
#0058e0,#ffffff,6.05,AA
#0058e8,#ffffff,5.9,AA
#0058f0,#ffffff,5.75,AA
#0058f8,#ffffff,5.6,AA
#006000,#ffffff,7.86,AAA
#006008,#ffffff,7.85,AAA
#006010,#ffffff,7.83,AAA
