color,bestColor,contrast,compliance
#002850,#ffff00,13.78,AAA
#002858,#ffff00,13.54,AAA
#002860,#ffff00,13.28,AAA
#002868,#ffff00,13.01,AAA
#002870,#ffff00,12.72,AAA
#002878,#ffff00,12.42,AAA
#002880,#ffff00,12.11,AAA
#002888,#ffff00,11.79,AAA
#002890,#ffff00,11.46,AAA
#002898,#ffff00,11.13,AAA
#0028a0,#ffff00,10.8,AAA
#0028a8,#ffff00,10.46,AAA
#0028b0,#ffff00,10.13,AAA
#0028b8,#ffff00,9.8,AAA
#0028c0,#ffff00,9.47,AAA
#0028c8,#ffff00,9.15,AAA
#0028d0,#ffff00,8.83,AAA
#0028d8,#ffff00,8.52,AAA
#0028e0,#ffff00,8.22,AAA
#0028e8,#ffff00,7.92,AAA
#0028f0,#ffff00,7.63,AAA
#0028f8,#ffff00,7.35,AAA
#003000,#ffff00,13.74,AAA
#003008,#ffff00,13.71,AAA
#003010,#ffff00,13.67,AAA
#003018,#ffff00,13.62,AAA
#003020,#ffff00,13.55,AAA
#003028,#ffff00,13.46,AAA
#003030,#ffff00,13.34,AAA
#003038,#ffff00,13.21,AAA
#003040,#ffff00,13.07,AAA
#003048,#ffff00,12.9,AAA
#003050,#ffff00,12.71,AAA
#003058,#ffff00,12.51,AAA
#003060,#ffff00,12.29,AAA
#003068,#ffff00,12.05,AAA
#003070,#ffff00,11.8,AAA
#003078,#ffff00,11.54,AAA
#003080,#ffff00,11.27,AAA
#003088,#ffff00,11.0,AAA
#003090,#ffff00,10.71,AAA
#003098,#ffff00,10.42,AAA
#0030a0,#ffff00,10.13,AAA
#0030a8,#ffff00,9.84,AAA
#0030b0,#ffff00,9.54,AAA
#0030b8,#ffff00,9.25,AAA
#0030c0,#ffff00,8.95,AAA
#0030c8,#ffff00,8.67,AAA
#0030d0,#ffff00,8.38,AAA
#0030d8,#ffff00,8.1,AAA
#0030e0,#ffff00,7.83,AAA
#0030e8,#ffff00,7.56,AAA
#0030f0,#ffff00,7.29,AAA
#0030f8,#ffff00,7.04,AAA
#003800,#ffff00,12.49,AAA
#003808,#ffff00,12.46,AAA
#003810,#ffff00,12.43,AAA
#003818,#ffff00,12.39,AAA
#003820,#ffff00,12.33,AAA
#003828,#ffff00,12.25,AAA
#003830,#ffff00,12.16,AAA
#003838,#ffff00,12.05,AAA
#003840,#ffff00,11.93,AAA
#003848,#ffff00,11.79,AAA
#003850,#ffff00,11.63,AAA
#003858,#ffff00,11.46,AAA
#003860,#ffff00,11.27,AAA
#003868,#ffff00,11.08,AAA
#003870,#ffff00,10.87,AAA
#003878,#ffff00,10.65,AAA
#003880,#ffff00,10.42,AAA
#003888,#ffff00,10.18,AAA
#003890,#ffff00,9.94,AAA
#003898,#ffff00,9.69,AAA
#0038a0,#ffff00,9.43,AAA
#0038a8,#ffff00,9.18,AAA
#0038b0,#ffff00,8.92,AAA
