color,bestColor,contrast,compliance
#000000,#ffa500,10.63,AAA
#000040,#ffa500,9.9,AAA
#000080,#ffa500,8.11,AAA
#0000c0,#ffa500,6.04,AA
#004000,#ffa500,6.13,AA
#004040,#ffa500,5.88,AA
#004080,#ffa500,5.2,AA
#0040c0,#ffa500,4.26,None
#008000,#ffa500,2.6,None
#008040,#ffa500,2.56,None
#008080,#ffa500,2.42,None
#0080c0,#ffa500,2.19,None
#00c000,#800080,3.83,None
#00c040,#800080,3.86,None
#00c080,#800080,3.97,None
#00c0c0,#800080,4.17,None
#400000,#ffa500,8.73,AAA
#400040,#ffa500,8.23,AAA
#400080,#ffa500,6.95,AA
#4000c0,#ffa500,5.37,AA
#404000,#ffa500,5.45,AA
#404040,#ffa500,5.25,AA
#404080,#ffa500,4.7,AA
#4040c0,#ffa500,3.92,None
#408000,#ffa500,2.47,None
#408040,#ffa500,2.43,None
#408080,#ffa500,2.3,None
#4080c0,#800080,2.27,None
#40c000,#800080,3.93,None
#40c040,#800080,3.96,None
#40c080,#800080,4.07,None
#40c0c0,#800080,4.27,None
#800000,#ffa500,5.54,AA
#800040,#ffa500,5.34,AA
#800080,#ffa500,4.77,AA
#8000c0,#ffa500,3.97,None
#804000,#ffa500,4.01,None
#804040,#ffa500,3.9,None
#804080,#ffa500,3.59,None
#8040c0,#ffa500,3.12,None
#808000,#800080,2.25,None
#808040,#800080,2.28,None
#808080,#800080,2.38,None
#8080c0,#800080,2.59,None
#80c000,#800080,4.24,None
#80c040,#800080,4.28,None
#80c080,#800080,4.38,None
#80c0c0,#800080,4.58,AA
#c00000,#ffa500,3.28,None
#c00040,#ffa500,3.21,None
#c00080,#ffa500,2.99,None
#c000c0,#ffa500,2.66,None
#c04000,#ffa500,2.68,None
#c04040,#ffa500,2.63,None
#c04080,#ffa500,2.48,None
#c040c0,#ffa500,2.25,None
#c08000,#800080,2.84,None
#c08040,#800080,2.87,None
#c08080,#800080,2.98,None
#c080c0,#800080,3.18,None
#c0c000,#800080,4.84,AA
#c0c040,#800080,4.87,AA
#c0c080,#800080,4.98,AA
#c0c0c0,#800080,5.18,AA
