color,bestColor,contrast,compliance
#000000,#ffffff,21.0,AAA
#000020,#ffffff,20.57,AAA
#000040,#ffffff,19.55,AAA
#000060,#ffffff,17.97,AAA
#000080,#ffffff,16.01,AAA
#0000a0,#ffffff,13.93,AAA
#0000c0,#ffffff,11.92,AAA
#0000e0,#ffffff,10.11,AAA
#002000,#ffffff,17.4,AAA
#002020,#ffffff,17.11,AAA
#002040,#ffffff,16.4,AAA
#002060,#ffffff,15.27,AAA
#002080,#ffffff,13.83,AAA
#0020a0,#ffffff,12.25,AAA
#0020c0,#ffffff,10.67,AAA
#0020e0,#ffffff,9.2,AAA
#004000,#ffffff,12.12,AAA
#004020,#ffffff,11.97,AAA
#004040,#ffffff,11.62,AAA
#004060,#ffffff,11.04,AAA
#004080,#ffffff,10.27,AAA
#0040a0,#ffffff,9.37,AAA
#0040c0,#ffffff,8.42,AAA
#0040e0,#ffffff,7.47,AAA
#006000,#ffffff,7.86,AAA
#006020,#ffffff,7.8,AAA
#006040,#ffffff,7.64,AAA
#006060,#ffffff,7.39,AAA
#006080,#ffffff,7.04,AAA
#0060a0,#ffffff,6.6,AA
#0060c0,#ffffff,6.11,AA
#0060e0,#ffffff,5.6,AA
#008000,#ffffff,5.14,AA
#008020,#ffffff,5.11,AA
#008040,#ffffff,5.05,AA
#008060,#ffffff,4.93,AA
#008080,#ffffff,4.77,AA
#0080a0,#000000,4.6,AA
#0080c0,#000000,4.85,AA
#0080e0,#000000,5.16,AA
#00a000,#000000,6.03,AA
#00a020,#000000,6.05,AA
#00a040,#000000,6.1,AA
#00a060,#000000,6.2,AA
#00a080,#000000,6.34,AA
#00a0a0,#000000,6.54,AA
#00a0c0,#000000,6.79,AA
#00a0e0,#000000,7.1,AAA
#00c000,#000000,8.54,AAA
#00c020,#000000,8.56,AAA
#00c040,#000000,8.61,AAA
#00c060,#000000,8.71,AAA
#00c080,#000000,8.85,AAA
#00c0a0,#000000,9.05,AAA
#00c0c0,#000000,9.3,AAA
#00c0e0,#000000,9.62,AAA
#00e000,#000000,11.66,AAA
#00e020,#000000,11.68,AAA
#00e040,#000000,11.74,AAA
#00e060,#000000,11.83,AAA
#00e080,#000000,11.97,AAA
#00e0a0,#000000,12.17,AAA
#00e0c0,#000000,12.42,AAA
#00e0e0,#000000,12.74,AAA
#200000,#ffffff,19.78,AAA
#200020,#ffffff,19.4,AAA
#200040,#ffffff,18.49,AAA
#200060,#ffffff,17.07,AAA
#200080,#ffffff,15.29,AAA
#2000a0,#ffffff,13.38,AAA
#2000c0,#ffffff,11.52,AAA
#2000e0,#ffffff,9.82,AAA
#202000,#ffffff,16.56,AAA
#202020,#ffffff,16.29,AAA
#202040,#ffffff,15.65,AAA
#202060,#ffffff,14.61,AAA
#202080,#ffffff,13.29,AAA
#2020a0,#ffffff,11.83,AAA
#2020c0,#ffffff,10.35,AAA
#2020e0,#ffffff,8.96,AAA
#204000,#ffffff,11.7,AAA
#204020,#ffffff,11.57,AAA
#204040,#ffffff,11.24,AAA
#204060,#ffffff,10.69,AAA
#204080,#ffffff,9.97,AAA
#2040a0,#ffffff,9.12,AAA
#2040c0,#ffffff,8.22,AAA
#2040e0,#ffffff,7.31,AAA
#206000,#ffffff,7.68,AAA
#206020,#ffffff,7.62,AAA
