color,bestColor,contrast,compliance
#00b0b0,#800080,3.52,None
#00b0c0,#800080,3.58,None
#00b0d0,#800080,3.64,None
#00b0e0,#800080,3.72,None
#00b0f0,#800080,3.8,None
#00c000,#800080,3.83,None
#00c010,#800080,3.83,None
#00c020,#800080,3.84,None
#00c030,#800080,3.85,None
#00c040,#800080,3.86,None
#00c050,#800080,3.88,None
#00c060,#800080,3.91,None
#00c070,#800080,3.94,None
#00c080,#800080,3.97,None
#00c090,#800080,4.01,None
#00c0a0,#800080,4.06,None
#00c0b0,#800080,4.11,None
#00c0c0,#800080,4.17,None
#00c0d0,#800080,4.24,None
#00c0e0,#800080,4.31,None
#00c0f0,#800080,4.39,None
#00d000,#800080,4.5,None
#00d010,#800080,4.5,None
#00d020,#800080,4.5,AA
#00d030,#800080,4.51,AA
#00d040,#800080,4.53,AA
#00d050,#800080,4.55,AA
#00d060,#800080,4.57,AA
#00d070,#800080,4.6,AA
#00d080,#800080,4.64,AA
#00d090,#800080,4.68,AA
#00d0a0,#800080,4.72,AA
#00d0b0,#800080,4.78,AA
#00d0c0,#800080,4.84,AA
#00d0d0,#800080,4.9,AA
#00d0e0,#800080,4.98,AA
#00d0f0,#800080,5.06,AA
#00e000,#800080,5.23,AA
#00e010,#800080,5.23,AA
#00e020,#800080,5.24,AA
#00e030,#800080,5.25,AA
#00e040,#800080,5.26,AA
#00e050,#800080,5.28,AA
#00e060,#800080,5.31,AA
#00e070,#800080,5.34,AA
#00e080,#800080,5.37,AA
#00e090,#800080,5.41,AA
#00e0a0,#800080,5.46,AA
#00e0b0,#800080,5.51,AA
#00e0c0,#800080,5.57,AA
#00e0d0,#800080,5.64,AA
#00e0e0,#800080,5.71,AA
#00e0f0,#800080,5.8,AA
#00f000,#800080,6.04,AA
#00f010,#800080,6.04,AA
#00f020,#800080,6.05,AA
#00f030,#800080,6.06,AA
#00f040,#800080,6.07,AA
#00f050,#800080,6.09,AA
#00f060,#800080,6.11,AA
#00f070,#800080,6.14,AA
#00f080,#800080,6.18,AA
#00f090,#800080,6.22,AA
#00f0a0,#800080,6.27,AA
#00f0b0,#800080,6.32,AA
#00f0c0,#800080,6.38,AA
#00f0d0,#800080,6.45,AA
#00f0e0,#800080,6.52,AA
#00f0f0,#800080,6.6,AA
#100000,#ffa500,10.4,AAA
#100010,#ffa500,10.33,AAA
#100020,#ffa500,10.2,AAA
#100030,#ffa500,9.99,AAA
#100040,#ffa500,9.7,AAA
#100050,#ffa500,9.35,AAA
#100060,#ffa500,8.93,AAA
#100070,#ffa500,8.47,AAA
#100080,#ffa500,7.97,AAA
#100090,#ffa500,7.46,AAA
#1000a0,#ffa500,6.95,AA
#1000b0,#ffa500,6.45,AA
#1000c0,#ffa500,5.96,AA
#1000d0,#ffa500,5.5,AA
#1000e0,#ffa500,5.07,AA
#1000f0,#ffa500,4.66,AA
#101000,#ffa500,9.7,AAA
#101010,#ffa500,9.64,AAA
#101020,#ffa500,9.52,AAA
#101030,#ffa500,9.34,AAA
#101040,#ffa500,9.09,AAA
#101050,#ffa500,8.77,AAA
#101060,#ffa500,8.41,AAA
#101070,#ffa500,7.99,AAA
#101080,#ffa500,7.55,AAA
#101090,#ffa500,7.09,AAA
#1010a0,#ffa500,6.63,AA
#1010b0,#ffa500,6.17,AA
#1010c0,#ffa500,5.73,AA
#1010d0,#ffa500,5.3,AA
#1010e0,#ffa500,4.89,AA
#1010f0,#ffa500,4.52,AA
#102000,#ffa500,8.66,AAA
#102010,#ffa500,8.6,AAA
#102020,#ffa500,8.51,AAA
#102030,#ffa500,8.36,AAA
#102040,#ffa500,8.16,AAA
#102050,#ffa500,7.91,AAA
#102060,#ffa500,7.61,AAA
#102070,#ffa500,7.27,AAA
#102080,#ffa500,6.9,AA
#102090,#ffa500,6.52,AA
#1020a0,#ffa500,6.12,AA
#1020b0,#ffa500,5.73,AA
#1020c0,#ffa500,5.34,AA
#1020d0,#ffa500,4.97,AA
#1020e0,#ffa500,4.61,AA
#1020f0,#ffa500,4.28,None
#103000,#ffa500,7.36,AAA
#103010,#ffa500,7.32,AAA
#103020,#ffa500,7.26,AAA
#103030,#ffa500,7.15,AAA
#103040,#ffa500,7.0,AAA
#103050,#ffa500,6.81,AA
#103060,#ffa500,6.59,AA
#103070,#ffa500,6.33,AA
#103080,#ffa500,6.05,AA
#103090,#ffa500,5.76,AA
#1030a0,#ffa500,5.45,AA
#1030b0,#ffa500,5.13,AA
#1030c0,#ffa500,4.82,AA
#1030d0,#ffa500,4.51,AA
#1030e0,#ffa500,4.22,None
#1030f0,#ffa500,3.93,None
#104000,#ffa500,6.06,AA
#104010,#ffa500,6.03,AA
#104020,#ffa500,5.99,AA
#104030,#ffa500,5.91,AA
#104040,#ffa500,5.81,AA
#104050,#ffa500,5.68,AA
#104060,#ffa500,5.53,AA
#104070,#ffa500,5.35,AA
#104080,#ffa500,5.14,AA
#104090,#ffa500,4.93,AA
#1040a0,#ffa500,4.7,AA
#1040b0,#ffa500,4.46,None
#1040c0,#ffa500,4.23,None
#1040d0,#ffa500,3.99,None
#1040e0,#ffa500,3.76,None
#1040f0,#ffa500,3.53,None
#105000,#ffa500,4.9,AA
#105010,#ffa500,4.88,AA
#105020,#ffa500,4.85,AA
#105030,#ffa500,4.81,AA
#105040,#ffa500,4.74,AA
#105050,#ffa500,4.65,AA
#105060,#ffa500,4.55,AA
#105070,#ffa500,4.42,None
#105080,#ffa500,4.29,None
#105090,#ffa500,4.13,None
#1050a0,#ffa500,3.97,None
#1050b0,#ffa500,3.8,None
#1050c0,#ffa500,3.63,None
#1050d0,#ffa500,3.45,None
#1050e0,#ffa500,3.28,None
#1050f0,#ffa500,3.1,None
#106000,#ffa500,3.95,None
#106010,#ffa500,3.93,None
#106020,#ffa500,3.92,None
#106030,#ffa500,3.88,None
#106040,#ffa500,3.84,None
#106050,#ffa500,3.78,None
#106060,#ffa500,3.71,None
#106070,#ffa500,3.63,None
#106080,#ffa500,3.54,None
#106090,#ffa500,3.43,None
#1060a0,#ffa500,3.32,None
#1060b0,#ffa500,3.2,None
#1060c0,#ffa500,3.08,None
#1060d0,#ffa500,2.95,None
#1060e0,#ffa500,2.82,None
#1060f0,#ffa500,2.69,None
#107000,#ffa500,3.18,None
#107010,#ffa500,3.18,None
#107020,#ffa500,3.16,None
#107030,#ffa500,3.14,None
#107040,#ffa500,3.12,None
#107050,#ffa500,3.08,None
#107060,#ffa500,3.03,None
#107070,#ffa500,2.98,None
#107080,#ffa500,2.91,None
#107090,#ffa500,2.84,None
#1070a0,#ffa500,2.76,None
#1070b0,#ffa500,2.68,None
#1070c0,#ffa500,2.59,None
#1070d0,#ffa500,2.5,None
#1070e0,#ffa500,2.41,None
#1070f0,#ffa500,2.31,None
#108000,#ffa500,2.59,None
#108010,#ffa500,2.58,None
#108020,#ffa500,2.57,None
#108030,#ffa500,2.56,None
#108040,#ffa500,2.54,None
#108050,#ffa500,2.52,None
#108060,#ffa500,2.49,None
#108070,#ffa500,2.45,None
#108080,#ffa500,2.41,None
#108090,#ffa500,2.36,None
#1080a0,#ffa500,2.3,None
#1080b0,#ffa500,2.25,None
#1080c0,#800080,2.18,None
#1080d0,#800080,2.25,None
#1080e0,#800080,2.33,None
#1080f0,#800080,2.41,None
#109000,#800080,2.25,None
#109010,#800080,2.25,None
#109020,#800080,2.26,None
#109030,#800080,2.27,None
#109040,#800080,2.28,None
#109050,#800080,2.3,None
#109060,#800080,2.32,None
#109070,#800080,2.35,None
#109080,#800080,2.39,None
#109090,#800080,2.43,None
#1090a0,#800080,2.48,None
#1090b0,#800080,2.53,None
#1090c0,#800080,2.59,None
#1090d0,#800080,2.66,None
#1090e0,#800080,2.73,None
#1090f0,#800080,2.81,None
#10a000,#800080,2.71,None
#10a010,#800080,2.72,None
#10a020,#800080,2.72,None
#10a030,#800080,2.73,None
#10a040,#800080,2.75,None
#10a050,#800080,2.77,None
#10a060,#800080,2.79,None
#10a070,#800080,2.82,None
#10a080,#800080,2.85,None
#10a090,#800080,2.89,None
#10a0a0,#800080,2.94,None
#10a0b0,#800080,2.99,None
#10a0c0,#800080,3.06,None
#10a0d0,#800080,3.12,None
#10a0e0,#800080,3.2,None
#10a0f0,#800080,3.28,None
#10b000,#800080,3.24,None
