color,bestColor,contrast,compliance
#00b010,#000000,7.22,AAA
#00b020,#000000,7.23,AAA
#00b030,#000000,7.25,AAA
#00b040,#000000,7.28,AAA
#00b050,#000000,7.33,AAA
#00b060,#000000,7.38,AAA
#00b070,#000000,7.44,AAA
#00b080,#000000,7.52,AAA
#00b090,#000000,7.61,AAA
#00b0a0,#000000,7.72,AAA
#00b0b0,#000000,7.84,AAA
#00b0c0,#000000,7.97,AAA
#00b0d0,#000000,8.12,AAA
#00b0e0,#000000,8.29,AAA
#00b0f0,#000000,8.47,AAA
#00c000,#000000,8.54,AAA
#00c010,#000000,8.55,AAA
#00c020,#000000,8.56,AAA
#00c030,#000000,8.58,AAA
#00c040,#000000,8.61,AAA
#00c050,#000000,8.66,AAA
#00c060,#000000,8.71,AAA
#00c070,#000000,8.77,AAA
#00c080,#000000,8.85,AAA
#00c090,#000000,8.94,AAA
#00c0a0,#000000,9.05,AAA
#00c0b0,#000000,9.17,AAA
#00c0c0,#000000,9.3,AAA
#00c0d0,#000000,9.45,AAA
#00c0e0,#000000,9.62,AAA
#00c0f0,#000000,9.8,AAA
#00d000,#000000,10.02,AAA
#00d010,#000000,10.03,AAA
#00d020,#000000,10.04,AAA
#00d030,#000000,10.07,AAA
#00d040,#000000,10.1,AAA
#00d050,#000000,10.14,AAA
#00d060,#000000,10.19,AAA
#00d070,#000000,10.26,AAA
#00d080,#000000,10.33,AAA
#00d090,#000000,10.43,AAA
#00d0a0,#000000,10.53,AAA
#00d0b0,#000000,10.65,AAA
#00d0c0,#000000,10.78,AAA
#00d0d0,#000000,10.93,AAA
#00d0e0,#000000,11.1,AAA
#00d0f0,#000000,11.28,AAA
#00e000,#000000,11.66,AAA
#00e010,#000000,11.67,AAA
#00e020,#000000,11.68,AAA
#00e030,#000000,11.7,AAA
#00e040,#000000,11.74,AAA
#00e050,#000000,11.78,AAA
#00e060,#000000,11.83,AAA
#00e070,#000000,11.9,AAA
#00e080,#000000,11.97,AAA
#00e090,#000000,12.06,AAA
#00e0a0,#000000,12.17,AAA
#00e0b0,#000000,12.29,AAA
#00e0c0,#000000,12.42,AAA
#00e0d0,#000000,12.57,AAA
#00e0e0,#000000,12.74,AAA
#00e0f0,#000000,12.92,AAA
#00f000,#000000,13.46,AAA
#00f010,#000000,13.47,AAA
#00f020,#000000,13.48,AAA
#00f030,#000000,13.51,AAA
#00f040,#000000,13.54,AAA
#00f050,#000000,13.58,AAA
#00f060,#000000,13.63,AAA
#00f070,#000000,13.7,AAA
#00f080,#000000,13.78,AAA
#00f090,#000000,13.87,AAA
#00f0a0,#000000,13.97,AAA
#00f0b0,#000000,14.09,AAA
#00f0c0,#000000,14.23,AAA
#00f0d0,#000000,14.37,AAA
#00f0e0,#000000,14.54,AAA
#00f0f0,#000000,14.72,AAA
#100000,#ffffff,20.55,AAA
#100010,#ffffff,20.4,AAA
#100020,#ffffff,20.14,AAA
#100030,#ffffff,19.72,AAA
#100040,#ffffff,19.16,AAA
#100050,#ffffff,18.46,AAA
#100060,#ffffff,17.63,AAA
#100070,#ffffff,16.72,AAA
#100080,#ffffff,15.75,AAA
#100090,#ffffff,14.74,AAA
#1000a0,#ffffff,13.73,AAA
#1000b0,#ffffff,12.74,AAA
#1000c0,#ffffff,11.78,AAA
#1000d0,#ffffff,10.86,AAA
#1000e0,#ffffff,10.01,AAA
#1000f0,#ffffff,9.21,AAA
#101000,#ffffff,19.16,AAA
#101010,#ffffff,19.03,AAA
#101020,#ffffff,18.8,AAA
#101030,#ffffff,18.44,AAA
#101040,#ffffff,17.95,AAA
#101050,#ffffff,17.33,AAA
#101060,#ffffff,16.6,AAA
#101070,#ffffff,15.79,AAA
#101080,#ffffff,14.92,AAA
