color,bestColor,contrast,compliance
#000000,#ffffff,21.0,AAA
#000040,#ffffff,19.55,AAA
#000080,#ffffff,16.01,AAA
#0000c0,#ffffff,11.92,AAA
#004000,#ffffff,12.12,AAA
#004040,#ffffff,11.62,AAA
#004080,#ffffff,10.27,AAA
#0040c0,#ffffff,8.42,AAA
#008000,#ffffff,5.14,AA
#008040,#ffffff,5.05,AA
#008080,#ffffff,4.77,AA
#0080c0,#000000,4.85,AA
#00c000,#000000,8.54,AAA
#00c040,#000000,8.61,AAA
#00c080,#000000,8.85,AAA
#00c0c0,#000000,9.3,AAA
#400000,#ffffff,17.24,AAA
#400040,#ffffff,16.25,AAA
#400080,#ffffff,13.73,AAA
#4000c0,#ffffff,10.61,AAA
#404000,#ffffff,10.76,AAA
#404040,#ffffff,10.37,AAA
#404080,#ffffff,9.28,AAA
#4040c0,#ffffff,7.74,AAA
#408000,#ffffff,4.88,AA
#408040,#ffffff,4.79,AA
#408080,#000000,4.62,AA
#4080c0,#000000,5.07,AA
#40c000,#000000,8.76,AAA
#40c040,#000000,8.83,AAA
#40c080,#000000,9.07,AAA
#40c0c0,#000000,9.52,AAA
#800000,#ffffff,10.95,AAA
#800040,#ffffff,10.54,AAA
#800080,#ffffff,9.42,AAA
#8000c0,#ffffff,7.84,AAA
#804000,#ffffff,7.92,AAA
#804040,#ffffff,7.71,AAA
#804080,#ffffff,7.09,AAA
#8040c0,#ffffff,6.15,AA
#808000,#000000,5.01,AA
#808040,#000000,5.08,AA
#808080,#000000,5.32,AA
#8080c0,#000000,5.77,AA
#80c000,#000000,9.46,AAA
#80c040,#000000,9.53,AAA
#80c080,#000000,9.77,AAA
#80c0c0,#000000,10.22,AAA
#c00000,#ffffff,6.48,AA
#c00040,#ffffff,6.33,AA
#c00080,#ffffff,5.91,AA
#c000c0,#ffffff,5.25,AA
#c04000,#ffffff,5.28,AA
#c04040,#ffffff,5.19,AA
#c04080,#ffffff,4.9,AA
#c040c0,#000000,4.74,AA
#c08000,#000000,6.33,AA
#c08040,#000000,6.4,AA
#c08080,#000000,6.64,AA
#c080c0,#000000,7.09,AAA
#c0c000,#000000,10.78,AAA
#c0c040,#000000,10.86,AAA
#c0c080,#000000,11.09,AAA
#c0c0c0,#000000,11.54,AAA
