color,bestColor,contrast,compliance
#000000,#00ff00,15.3,AAA
#000010,#00ff00,15.19,AAA
#000020,#00ff00,14.99,AAA
#000030,#00ff00,14.68,AAA
#000040,#00ff00,14.25,AAA
#000050,#00ff00,13.72,AAA
#000060,#00ff00,13.09,AAA
#000070,#00ff00,12.4,AAA
#000080,#00ff00,11.67,AAA
#000090,#00ff00,10.91,AAA
#0000a0,#00ff00,10.15,AAA
#0000b0,#00ff00,9.41,AAA
#0000c0,#00ff00,8.69,AAA
#0000d0,#00ff00,8.01,AAA
#0000e0,#00ff00,7.37,AAA
#0000f0,#00ff00,6.78,AA
#001000,#00ff00,14.25,AAA
#001010,#00ff00,14.15,AAA
#001020,#00ff00,13.98,AAA
#001030,#00ff00,13.7,AAA
#001040,#00ff00,13.33,AAA
#001050,#00ff00,12.86,AAA
#001060,#00ff00,12.31,AAA
#001070,#00ff00,11.7,AAA
#001080,#00ff00,11.04,AAA
#001090,#00ff00,10.36,AAA
#0010a0,#00ff00,9.68,AAA
#0010b0,#00ff00,9.0,AAA
#0010c0,#00ff00,8.34,AAA
#0010d0,#00ff00,7.71,AAA
#0010e0,#00ff00,7.12,AAA
#0010f0,#00ff00,6.56,AA
#002000,#00ff00,12.68,AAA
#002010,#00ff00,12.61,AAA
#002020,#00ff00,12.47,AAA
#002030,#00ff00,12.25,AAA
#002040,#00ff00,11.95,AAA
#002050,#00ff00,11.57,AAA
#002060,#00ff00,11.13,AAA
#002070,#00ff00,10.62,AAA
#002080,#00ff00,10.08,AAA
#002090,#00ff00,9.51,AAA
#0020a0,#00ff00,8.93,AAA
#0020b0,#00ff00,8.35,AAA
#0020c0,#00ff00,7.78,AAA
#0020d0,#00ff00,7.23,AAA
#0020e0,#00ff00,6.7,AA
#0020f0,#00ff00,6.21,AA
#003000,#00ff00,10.76,AAA
#003010,#00ff00,10.7,AAA
#003020,#00ff00,10.6,AAA
#003030,#00ff00,10.44,AAA
#003040,#00ff00,10.22,AAA
#003050,#00ff00,9.95,AAA
#003060,#00ff00,9.61,AAA
#003070,#00ff00,9.24,AAA
#003080,#00ff00,8.82,AAA
#003090,#00ff00,8.38,AAA
#0030a0,#00ff00,7.93,AAA
#0030b0,#00ff00,7.47,AAA
#0030c0,#00ff00,7.01,AAA
#0030d0,#00ff00,6.56,AA
#0030e0,#00ff00,6.12,AA
#0030f0,#00ff00,5.71,AA
#004000,#00ff00,8.83,AAA
#004010,#00ff00,8.79,AAA
#004020,#00ff00,8.72,AAA
#004030,#00ff00,8.62,AAA
#004040,#00ff00,8.47,AAA
#004050,#00ff00,8.28,AAA
#004060,#00ff00,8.05,AAA
#004070,#00ff00,7.78,AAA
#004080,#00ff00,7.48,AAA
#004090,#00ff00,7.16,AAA
#0040a0,#00ff00,6.83,AA
#0040b0,#00ff00,6.48,AA
#0040c0,#00ff00,6.14,AA
#0040d0,#00ff00,5.79,AA
#0040e0,#00ff00,5.45,AA
#0040f0,#00ff00,5.12,AA
#005000,#00ff00,7.13,AAA
#005010,#00ff00,7.1,AAA
#005020,#00ff00,7.06,AAA
#005030,#00ff00,6.99,AA
#005040,#00ff00,6.89,AA
#005050,#00ff00,6.76,AA
#005060,#00ff00,6.61,AA
#005070,#00ff00,6.43,AA
#005080,#00ff00,6.22,AA
#005090,#00ff00,6.0,AA
#0050a0,#00ff00,5.76,AA
#0050b0,#00ff00,5.52,AA
#0050c0,#00ff00,5.26,AA
#0050d0,#00ff00,5.0,AA
#0050e0,#00ff00,4.75,AA
#0050f0,#00ff00,4.49,None
#006000,#00ff00,5.73,AA
#006010,#00ff00,5.71,AA
#006020,#00ff00,5.68,AA
#006030,#00ff00,5.64,AA
#006040,#00ff00,5.57,AA
#006050,#00ff00,5.49,AA
#006060,#00ff00,5.38,AA
#006070,#00ff00,5.26,AA
#006080,#00ff00,5.13,AA
#006090,#00ff00,4.98,AA
#0060a0,#00ff00,4.81,AA
#0060b0,#00ff00,4.64,AA
#0060c0,#00ff00,4.46,None
#0060d0,#00ff00,4.27,None
#0060e0,#00ff00,4.08,None
#0060f0,#00ff00,3.89,None
#007000,#00ff00,4.61,AA
#007010,#00ff00,4.6,AA
#007020,#00ff00,4.58,AA
#007030,#00ff00,4.55,AA
#007040,#00ff00,4.51,AA
#007050,#00ff00,4.46,None
#007060,#00ff00,4.39,None
#007070,#00ff00,4.31,None
#007080,#00ff00,4.22,None
#007090,#00ff00,4.11,None
#0070a0,#00ff00,4.0,None
#0070b0,#00ff00,3.88,None
#0070c0,#00ff00,3.75,None
#0070d0,#00ff00,3.62,None
#0070e0,#00ff00,3.48,None
#0070f0,#00ff00,3.34,None
#008000,#00ff00,3.74,None
#008010,#00ff00,3.74,None
#008020,#00ff00,3.72,None
#008030,#00ff00,3.71,None
#008040,#00ff00,3.68,None
#008050,#00ff00,3.64,None
#008060,#00ff00,3.6,None
#008070,#00ff00,3.54,None
#008080,#00ff00,3.48,None
#008090,#00ff00,3.41,None
#0080a0,#00ff00,3.33,None
#0080b0,#00ff00,3.25,None
#0080c0,#00ff00,3.16,None
#0080d0,#00ff00,3.06,None
#0080e0,#00ff00,2.96,None
#0080f0,#00ff00,2.86,None
#009000,#00ff00,3.07,None
#009010,#00ff00,3.06,None
#009020,#00ff00,3.05,None
#009030,#00ff00,3.04,None
#009040,#00ff00,3.02,None
#009050,#00ff00,3.0,None
#009060,#00ff00,2.97,None
#009070,#00ff00,2.93,None
#009080,#00ff00,2.89,None
#009090,#00ff00,2.84,None
#0090a0,#00ff00,2.78,None
#0090b0,#00ff00,2.72,None
#0090c0,#00ff00,2.66,None
#0090d0,#00ff00,2.59,None
#0090e0,#00ff00,2.52,None
#0090f0,#0000ff,2.56,None
#00a000,#00ff00,2.54,None
#00a010,#00ff00,2.54,None
#00a020,#00ff00,2.53,None
#00a030,#00ff00,2.52,None
#00a040,#00ff00,2.51,None
#00a050,#0000ff,2.51,None
#00a060,#0000ff,2.54,None
#00a070,#0000ff,2.56,None
#00a080,#0000ff,2.59,None
#00a090,#0000ff,2.63,None
#00a0a0,#0000ff,2.67,None
#00a0b0,#0000ff,2.72,None
#00a0c0,#0000ff,2.78,None
#00a0d0,#0000ff,2.84,None
#00a0e0,#0000ff,2.91,None
#00a0f0,#0000ff,2.98,None
#00b000,#0000ff,2.95,None
#00b010,#0000ff,2.95,None
#00b020,#0000ff,2.96,None
#00b030,#0000ff,2.97,None
#00b040,#0000ff,2.98,None
#00b050,#0000ff,3.0,None
#00b060,#0000ff,3.02,None
#00b070,#0000ff,3.05,None
#00b080,#0000ff,3.08,None
#00b090,#0000ff,3.11,None
#00b0a0,#0000ff,3.16,None
#00b0b0,#0000ff,3.21,None
#00b0c0,#0000ff,3.26,None
#00b0d0,#0000ff,3.32,None
#00b0e0,#0000ff,3.39,None
#00b0f0,#0000ff,3.46,None
#00c000,#0000ff,3.49,None
#00c010,#0000ff,3.5,None
#00c020,#0000ff,3.5,None
#00c030,#0000ff,3.51,None
#00c040,#0000ff,3.52,None
#00c050,#0000ff,3.54,None
#00c060,#0000ff,3.56,None
#00c070,#0000ff,3.59,None
#00c080,#0000ff,3.62,None
#00c090,#0000ff,3.66,None
#00c0a0,#0000ff,3.7,None
#00c0b0,#0000ff,3.75,None
#00c0c0,#0000ff,3.81,None
#00c0d0,#0000ff,3.87,None
#00c0e0,#0000ff,3.93,None
#00c0f0,#0000ff,4.01,None
#00d000,#0000ff,4.1,None
#00d010,#0000ff,4.1,None
#00d020,#0000ff,4.11,None
#00d030,#0000ff,4.12,None
#00d040,#0000ff,4.13,None
#00d050,#0000ff,4.15,None
#00d060,#0000ff,4.17,None
#00d070,#0000ff,4.2,None
#00d080,#0000ff,4.23,None
#00d090,#0000ff,4.27,None
#00d0a0,#0000ff,4.31,None
#00d0b0,#0000ff,4.36,None
#00d0c0,#0000ff,4.41,None
#00d0d0,#0000ff,4.47,None
#00d0e0,#0000ff,4.54,AA
#00d0f0,#0000ff,4.62,AA
#00e000,#0000ff,4.77,AA
#00e010,#0000ff,4.77,AA
#00e020,#0000ff,4.78,AA
#00e030,#0000ff,4.79,AA
#00e040,#0000ff,4.8,AA
#00e050,#0000ff,4.82,AA
#00e060,#0000ff,4.84,AA
#00e070,#0000ff,4.87,AA
#00e080,#0000ff,4.9,AA
#00e090,#0000ff,4.94,AA
#00e0a0,#0000ff,4.98,AA
#00e0b0,#0000ff,5.03,AA
#00e0c0,#0000ff,5.08,AA
#00e0d0,#0000ff,5.14,AA
#00e0e0,#0000ff,5.21,AA
#00e0f0,#0000ff,5.29,AA
#00f000,#0000ff,5.51,AA
#00f010,#0000ff,5.51,AA
#00f020,#0000ff,5.52,AA
